id,en,zh,info,info_zh
1,Small Health Potion,小生命藥水,Recovers 100 health points.,回復100生命值.
2,Bow,弓,A hunter's bow.,一個獵人的弓.
3,Small Mana Potion,小魔力藥水,Recovers 100 mana.,回復100點魔力值.
4,Antidote,解毒劑,Cures poison.,解毒。
5,Elixir,秘藥,Recovers 100 health points and 100 mana.,回復100生命值及100魔力值。
6,Large Health Potion,大生命藥水,Recovers 250 health points.,回復250生命值.
7,Large Mana Potion,大魔力藥水,Recovers 250 mana.,回復250魔力值.
8,Large Elixir,大秘藥,Recovers 250 health points and 250 mana.,回復250點生命及法力值.
9,Greater Health Potion,上級生命藥水,Recovers 500 health points.,回復500點生命值.
10,Greater Mana Potion,上級魔力藥水,Recovers 500 mana.,回復500魔力值。
11,Greater Elixir,上級秘藥,Recovers 500 health points and 500 mana.,回復500生命值及500魔力值。
12,Panacea,萬靈藥,The universal remedy.,亂世中的唯一救贖。
13,Lucky Coin,幸運金幣,"A shiny, lucky coin. Boosts gold earned for a period of time.",閃亮亮的幸運金幣.能在一定時間內提升獲得的金錢.
14,Lucky Silver Coin,幸運銀幣,"A shiny, lucky, silver coin. Boosts orns earned for a period of time.",閃亮亮的幸運銀幣，可以在一段時間內增加獲得的歐幣。
15,EXP Potion,經驗值藥水,A sour tasting elixir that doubles experience earned for a limited time.,聞起來有點可怕的藥水，它能暫時性提高經驗值獲取量。
16,Dowsing Rod,探測棒,A strange apparatus suitable for finding that which cannot be easily found. Boosts item and discovery rate for a period of time.,常用於尋找隱藏物品的神奇的玩意兒。它能暫時性提高物品獲取率。
17,Torch,火炬,Use it at night to increase visibility. You may attract more monsters as well.,在夜晚使用它以增加視野，並可能引來更多魔物。
18,Occult Candle,玄妙蠟燭,A mysterious candle that draws more enemies to you for a limited time when lit.,點燃此神秘的蠟燭將在期間內引來更多敵人。
19,Attack Tonic,物攻藥劑,A sour tonic that raises your attack in battle.,可於戰鬥中提升物攻的酸藥劑。
20,Defense Tonic,物防藥劑,A sour tonic that raises your defense in battle.,可在戰鬥中提升物防的藥劑。
21,Speed Tonic,速度藥水,A sour tonic that raises your speed in battle.,可在戰鬥中增加敏捷的酸化藥劑。
22,Magic Tonic,魔力藥劑,A sour tonic that raises your magic in battle.,可以提升魔力的酸酸藥水.
23,Monster Remains,魔物遺骸,Fragment remains of a fallen monster. Attracts a boss to your location when used.,
24,Great Monster Remains,魔物遺骸加強版,Fragrant remains of a fallen monster. Attracts a (Berserk) boss to your location when used.,
25,Coffee,咖啡,The nectar of the gods.,
26,Broadsword,闊劍,A sword with a wide blade.,寬大刀刃的劍.
27,Cane,杖,A wise mage's cane.,智者法杖。
28,Dagger,匕首,A small blade ideal for close quartered combat.,近身作戰時很好用的短刀.
29,Rusty Sword,生鏽的劍,"An old, rusty sword.",老舊生鏽的劍.
30,Short Sword,短劍,"A trusty, yet short, sword.",一把可靠的短劍。
31,Staff,法杖,A mage's staff.,法師之杖。
32,Sword and Shield,劍盾,A simple sword and shield.,就是個劍和盾.
33,Wooden Staff,木製法杖,A mage's staff crafted of enchanted wood.,魔法木製成的法杖。
34,Axe,斧頭,A woodcutter's axe. Useful as a tool or as a weapon.,伐木工的斧頭.當工具或武器都好用.
35,Axe of Night,夜之斧,An axe wielded by monsters of the night.  Enhanced with dark magic.,
36,Battle Axe,戰斧,"A large, crushing axe.",巨大的破壞斧.
37,Bearclaw,熊爪,A crude blade forged of the remains of a bear.,利用熊的遺骸所製作的粗製刀刃。
